"The number of entries per field is limited to 10 for this overview."

ID,Name,"Collection number"
1060,"Polaribacter phage Freya_1","DSM 111233"
1061,"Polaribacter phage Freya_10","DSM 111234"
1062,"Tenacibaculum phage Gundel_1","DSM 111235"
1063,"Cellulophaga phage Ingeline_1","DSM 111236"
1064,"Polaribacter phage Leef_1","DSM 111238"
1065,"Cellulophaga phage Nekkels_1","DSM 111239"
1066,"Cellulophaga phage Omtje_1","DSM 111240"
1067,"Winogradshyella phage Peternella_1","DSM 111241"
1068,"Maribacter phage Colly_1","DSM 111252"
1069,"Olleya phage Harreka_1","DSM 111256"
1070,"Maribacter phage Molly_1","DSM 111257"
1071,"Klebsiella phage vB_KpnM-FSA1","DSM 111538"
1072,"Klebsiella phage vB_KpnM-FSA2","DSM 111539"
1073,"Klebsiella phage vB_KpnM-FSA5","DSM 111542"
1074,"Klebsiella phage vB_KpnS-FSA7","DSM 111544"
1075,"Klebsiella phage vB_KpnM-FSA8","DSM 111545"
1076,"Klebsiella phage vB_KpnP-FSA10","DSM 111547"
1077,"Klebsiella phage vB_KpnS-FSA11","DSM 111548"
1078,"Klebsiella phage vB_KpnM-FSA12","DSM 111549"
1079,"Streptomyces phage Coruscant","DSM 111650"
1080,"Streptomyces phage Alderaan","DSM 111651"
1081,"Streptomyces phage Dagobah","DSM 111652"
1082,"Parabacteroides phage vB_PdiS_PDS1","DSM 112067"
1083,"Escherichia phage vB_EcoS_Leineweber","DSM 112069"
1084,"Escherichia phage vB_EcoS-Spe4","DSM 112071"
1085,"Escherichia phage vB_EcoS-Spe3","DSM 112070"
1086,"Pseudomonas phage vB_PaeM_PAO1-1","DSM 112169"
1087,"Pseudomonas phage vB_PaeS_PaCH8_2","DSM 112170"
1088,"Pseudomonas phage vB_PaeM_spe5","DSM 112367"
1089,"Pseudomonas phage vB_PaeM_Spe6","DSM 112368"
1090,"Pseudomonas phage vB_PaeM_spe7","DSM 112369"
1091,"Streptomyces phage Endor1","DSM 112382"
1092,"Streptomyces phage Endor2","DSM 112383"
1093,"Escherichia phage vB_EcoS_PTJS-SuperMara","DSM 112812"
1094,"Escherichia phage vB_EcoS-PTJS-SteZe","DSM 112813"
1095,"Escherichia phage vB_EcoS_AugustePiccard (Bas01)","DSM 112879"
1096,"Escherichia phage vB_EcoS_JeanPiccard (Bas02)","DSM 112880"
1097,"Escherichia phage vB_EcoS_JulesPiccard (Bas03)","DSM 112881"
1098,"Escherichia phage vB_EcoS_FritzSarasin (Bas04)","DSM 112882"
1099,"Escherichia phage vB_EcoS_PeterMerian (Bas05)","DSM 112883"
1100,"Escherichia phage vB_EcoS_KarlJaspers (Bas06)","DSM 112884"
1101,"Escherichia phage vB_EcoS_JakobBernoulli (Bas07)","DSM 112885"
1102,"Escherichia phage vB_EcoS_DanielBernoulli (Bas08)","DSM 112886"
1103,"Escherichia phage vB_EcoS_PaulSarasin (Bas09)","DSM 112887"
1104,"Escherichia phage vB_EcoS_IsaakIselin (Bas10)","DSM 112888"
1105,"Escherichia phage vB_EcoS_JohannLBurckhardt (Bas11)","DSM 112889"
1106,"Escherichia phage vB_EcoS_BrunoManser (Bas12)","DSM 112890"
1107,"Escherichia phage vB_EcoS_LeonhardEuler (Bas13)","DSM 112891"
1108,"Escherichia phage vB_EcoS_TheodorHerzl (Bas14)","DSM 112892"
1109,"Escherichia phage vB_EcoS_PaulFeyerabend (Bas15)","DSM 112893"
1110,"Escherichia phage vB_EcoS_GeorgBuechner (Bas16)","DSM 112894"
1111,"Escherichia phage vB_EcoS_KarlBarth (Bas17)","DSM 112895"
1112,"Escherichia phage vB_EcoS_Oekolampad (Bas18)","DSM 112896"
1113,"Escherichia phage vB_EcoS_ChristophMerian (Bas19)","DSM 112897"
1114,"Escherichia phage vB_EcoS_FritzHoffmann (Bas20)","DSM 112898"
1115,"Escherichia phage vB_EcoS_GottfriedDienst (Bas21)","DSM 112899"
1116,"Escherichia phage vB_EcoS_KurtStettler (Bas22)","DSM 112900"
1117,"Escherichia phage vB_EcoS_WildeMaa (Bas23)","DSM 112901"
1118,"Escherichia phage vB_EcoS_SeppeHuegi (Bas24)","DSM 112902"
1119,"Escherichia phage vB_EcoS_VogelGryff (Bas25)","DSM 112903"
1120,"Escherichia phage vB_EcoS_GreteKellenberger (Bas26)","DSM 112904"
1121,"Escherichia phage vB_EcoS_TrudiGerster (Bas27)","DSM 112905"
1122,"Escherichia phage vB_EcoS_IrmaTschudi (Bas28)","DSM 112906"
1123,"Escherichia phage vB_EcoS_SuperGirl (Bas29)","DSM 112907"
1124,"Escherichia phage vB_EcoS_TrudiRoth (Bas30)","DSM 112908"
1125,"Escherichia phage vB_EcoS_DaisyDussoix (Bas31)","DSM 112909"
1126,"Escherichia phage vB_EcoS_HildyBeyerler (Bas33)","DSM 112911"
1127,"Escherichia phage vB_EcoS_SelmaRatti (Bas34)","DSM 112912"
1128,"Escherichia phage vB_EcoM_WilhelmHis (Bas35)","DSM 112913"
1129,"Escherichia phage vB_EcoM_Paracelsus (Bas36)","DSM 112914"
1130,"Escherichia phage vB_EcoM_KarlGJung (Bas37)","DSM 112915"
1131,"Escherichia phage vB_EcoM_AugustSocin (Bas38)","DSM 112916"
1132,"Escherichia phage vB_EcoM_FriedrichMiescher (Bas39)","DSM 112917"
1133,"Escherichia phage vB_EcoM_FriedrichZschokke (Bas41)","DSM 112919"
1134,"Escherichia phage vB_EcoM_FelixPlatter (Bas40)","DSM 112918"
1135,"Escherichia phage vB_EcoM_AndreasVesalius (Bas42)","DSM 112920"
1136,"Escherichia phage vB_EcoM_TadeuszReichstein (Bas43)","DSM 112921"
1137,"Escherichia phage vB_EcoM_AdolfPortmann (Bas44)","DSM 112922"
1138,"Escherichia phage vB_EcoM_PaulHMǬller (Bas45)","DSM 112923"
1139,"Escherichia phage vB_EcoM_ChristianSchoenbein (Bas46)","DSM 112924"
1140,"Escherichia phage vB_EcoM_AlbertHofmann (Bas47)","DSM 112925"
1141,"Escherichia phage vB_EcoM_CarlMeissner (Bas48)","DSM 112926"
1142,"Escherichia phage vB_EcoM_EmilHeitz (Bas49)","DSM 112927"
1143,"Escherichia phage vB_EcoM_DrSchubert (Bas50)","DSM 112928"
1144,"Escherichia phage vB_EcoM_WalterGehring (Bas51)","DSM 112929"
1145,"Escherichia phage vB_EcoM_RudolfGeigy (Bas52)","DSM 112930"
1146,"Escherichia phage vB_EcoM_JohannBauhin (Bas53)","DSM 112931"
1147,"Escherichia phage vB_EcoM_MaxBurger (Bas54)","DSM 112932"
1148,"Escherichia phage vB_EcoM_JeffSchatz (Bas55)","DSM 112933"
1149,"Escherichia phage vB_EcoM_AlexBoehm (Bas56)","DSM 112934"
1150,"Escherichia phage vB_EcoM_MaxTheCat (Bas57)","DSM 112935"
1151,"Escherichia phage vB_EcoM_HeinrichReichert (Bas58)","DSM 112936"
1152,"Escherichia phage vB_EcoM_EduardKellenberger (Bas59)","DSM 112937"
1153,"Escherichia phage vB_EcoM_EmilieFrey (Bas61)","DSM 112939"
1154,"Escherichia phage vB_EcoM_JohannJBalmer (Bas62)","DSM 112940"
1155,"Escherichia phage vB_EcoM_JohannRWettstein (Bas63)","DSM 112941"
1156,"Escherichia phage vB_EcoP_JeanTinguely (Bas64)","DSM 112942"
1157,"Escherichia phage vB_EcoP_JacobBurckhardt (Bas65)","DSM 112943"
1158,"Escherichia phage vB_EcoP_T3K12 (Bas66)","DSM 112944"
1159,"Escherichia phage vB_EcoP_ErnstBeyeler (Bas67)","DSM 112945"
1160,"Escherichia phage vB_EcoP_CarlSpitteler (Bas68)","DSM 112946"
1161,"Escherichia phage vB_EcoP_AlfredRasser (Bas69)","DSM 112947"
1162,"Pseudomonas phage LIT1","DSM 113935"
1163,"Pseudomonas phage LUZ7","DSM 113936"
1164,"Escherichia phage vB_EcoS-PT-KM-Oker","DSM 114417"
1165,"Escherichia phage vB_EcoS-PT-KM-Finnie","DSM 114542"
1166,"Citrobacter phage vB_CfrM-PT-FK01","DSM 115366"
1167,"Escherichia phage vB_EcoM-Bhz63","DSM 115532"
